Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,1,0,20.5235410000002,20.5235410000002,20.5235410000002,20.5235410000002,242.0,0.9136227307846544,0.0,21,21,21,21,21,21,21,21,21,21,21
,Aggregated,1,0,20.5235410000002,20.5235410000002,20.5235410000002,20.5235410000002,242.0,0.9136227307846544,0.0,21,21,21,21,21,21,21,21,21,21,21
